kata,df,idf
analisis,129,1.1142022461934324
simulasi,11,2.1833992713344563
sistem,439,0.58232743625056
tunjang,6,2.446640706109038
putus,70,1.3796939164784245
model,78,1.3326973538022011
matematis,1,3.2247919564926817
dekat,16,2.0206719738367567
goodness-of,1,3.2247919564926817
fit,3,2.747670701773019
bas,314,0.7278623084194665
structural,1,3.2247919564926817
equation,1,3.2247919564926817
visualisasi,2,2.9237619608287004
peta,3,2.747670701773019
rss,2,2.9237619608287004
fingerprint,2,2.9237619608287004
fase,1,3.2247919564926817
offline,1,3.2247919564926817
localization,1,3.2247919564926817
lantai,2,2.9237619608287004
3,13,2.1108486041858447
gedung,6,2.446640706109038
teknik,202,0.9194405870460577
elektro,6,2.446640706109038
ugm,2,2.9237619608287004
wlan,5,2.5258219521566625
pengaruh,17,1.9943430351144076
profitabilitas,3,2.747670701773019
solvabilitas,2,2.9237619608287004
ukur,23,1.8630641204750886
usaha,24,1.8445807147810755
hadap,48,1.5435507191170943
audit,6,2.446640706109038
delay,1,3.2247919564926817
reputasi,1,3.2247919564926817
kap,1,3.2247919564926817
bagai,95,1.2470683512038336
pemoderasi,1,3.2247919564926817
machine,25,1.826851947820644
learning,38,1.6450083598758714
estimasi,3,2.747670701773019
posisi,3,2.747670701773019
objek,11,2.1833992713344563
ieee,1,3.2247919564926817
80211,1,3.2247919564926817
g,1,3.2247919564926817
jteti,1,3.2247919564926817
layak,4,2.622731965164719
cloud,50,1.5258219521566627
computing,44,1.581339280006494
metode,495,0.5301867575591127
ranti,1,3.2247919564926817
s,2,2.9237619608287004
generic,1,3.2247919564926817
is,1,3.2247919564926817
it,2,2.9237619608287004
bussiness,1,3.2247919564926817
value,12,2.1456107104450566
badan,4,2.622731965164719
batam,5,2.5258219521566625
tambang,9,2.2705494470533565
proses,29,1.7623939585937254
yang,15,2.0487006974370003
dukung,80,1.321701969500738
nilai,26,1.8098186085218635
perangkat,11,2.1833992713344563
lunak,7,2.3796939164784248
cobit4,1,3.2247919564926817
1,19,1.9460383555398524
leverage,1,3.2247919564926817
status,2,2.9237619608287004
rata,1,3.2247919564926817
volume,2,2.9237619608287004
dagang,2,2.9237619608287004
saham,2,2.9237619608287004
rasio,1,3.2247919564926817
uang,6,2.446640706109038
financial,2,2.9237619608287004
distress,1,3.2247919564926817
struktur,2,2.9237619608287004
milik,2,2.9237619608287004
variabel,1,3.2247919564926817
moderasi,1,3.2247919564926817
manajemen,40,1.6227319651647192
risiko,6,2.446640706109038
biaya,4,2.622731965164719
rumah,31,1.7334302626584088
kpr,1,3.2247919564926817
griya,1,3.2247919564926817
ib,1,3.2247919564926817
hasanah,1,3.2247919564926817
bank,4,2.622731965164719
bni,1,3.2247919564926817
syariah,2,2.9237619608287004
konsep,38,1.6450083598758714
cerdas,23,1.8630641204750886
buat,34,1.6933130394504263
paham,5,2.5258219521566625
logika,9,2.2705494470533565
fuzzy,33,1.706278016614794
aplikasi,174,0.9842427082100818
game,78,1.3326973538022011
air,10,2.2247919564926817
strike,2,2.9237619608287004
stta,2,2.9237619608287004
client,7,2.3796939164784248
server,40,1.6227319651647192
android,86,1.2902935052491138
survey,2,2.9237619608287004
paper,3,2.747670701773019
tantang,5,2.5258219521566625
peluang,2,2.9237619608287004
bidang,11,2.1833992713344563
islam,11,2.1833992713344563
qur,2,2.9237619608287004
an,4,2.622731965164719
hadits,2,2.9237619608287004
algoritma,247,0.8320950032330158
fisher-yates,1,3.2247919564926817
shuffle,1,3.2247919564926817
cocok,2,2.9237619608287004
gambar,12,2.1456107104450566
monumen,2,2.9237619608287004
dunia,5,2.5258219521566625
finite,10,2.2247919564926817
state,13,2.1108486041858447
battle,5,2.5258219521566625
augmented,53,1.5005160868918925
reality,56,1.476603929486481
text,12,2.1456107104450566
mining,94,1.2516641028929827
chatbot,6,2.446640706109038
memory,3,2.747670701773019
volatile,1,3.2247919564926817
forensik,33,1.706278016614794
deteksi,45,1.5715794427173377
malware,1,3.2247919564926817
banding,32,1.7196419781727754
template,2,2.9237619608287004
matching,11,2.1833992713344563
feature,2,2.9237619608287004
extraction,2,2.9237619608287004
optical,1,3.2247919564926817
character,2,2.9237619608287004
recognition,3,2.747670701773019
backtracking,1,3.2247919564926817
pencaria,1,3.2247919564926817
kata,5,2.5258219521566625
aksara,6,2.446640706109038
batak,2,2.9237619608287004
toba,1,3.2247919564926817
minimax,3,2.747670701773019
main,11,2.1833992713344563
tic-tac-toe,1,3.2247919564926817
skala,3,2.747670701773019
9x9,1,3.2247919564926817
turn-based,1,3.2247919564926817
rpg,4,2.622731965164719
heroes,1,3.2247919564926817
of,90,1.2705494470533567
dawn,1,3.2247919564926817
desktop,5,2.5258219521566625
artificial,7,2.3796939164784248
intelligence,5,2.5258219521566625
resusitasi,1,3.2247919564926817
jantung,1,3.2247919564926817
paru,3,2.747670701773019
pasien,8,2.321701969500738
gawat,1,3.2247919564926817
darurat,1,3.2247919564926817
filtering,13,2.1108486041858447
sms,7,2.3796939164784248
spam,1,3.2247919564926817
immune,1,3.2247919564926817
system,39,1.6337273494661824
ais,1,3.2247919564926817
tokenization,2,2.9237619608287004
with,2,2.9237619608287004
vectors,1,3.2247919564926817
a,10,2.2247919564926817
star,2,2.9237619608287004
tualang,2,2.9237619608287004
labirin,2,2.9237619608287004
selesai,4,2.622731965164719
geser,1,3.2247919564926817
angka,3,2.747670701773019
bintang,2,2.9237619608287004
david,1,3.2247919564926817
cari,18,1.9695194513893755
breadth-first,1,3.2247919564926817
pandemic,1,3.2247919564926817
nightmare,1,3.2247919564926817
bentuk,10,2.2247919564926817
perilaku,5,2.5258219521566625
non,3,2.747670701773019
player,3,2.747670701773019
phantom,1,3.2247919564926817
assasin,1,3.2247919564926817
alphabeta,1,3.2247919564926817
pruning,3,2.747670701773019
pawn,2,2.9237619608287004
line,2,2.9237619608287004
sight,1,3.2247919564926817
tembak,1,3.2247919564926817
tikus,1,3.2247919564926817
sawah,1,3.2247919564926817
merespon,1,3.2247919564926817
emosi,1,3.2247919564926817
teks,30,1.747670701773019
tik-tak,1,3.2247919564926817
rough,2,2.9237619608287004
set,2,2.9237619608287004
tentu,53,1.5005160868918925
beli,9,2.2705494470533565
smartphone,7,2.3796939164784248
oleh,5,2.5258219521566625
konsumen,9,2.2705494470533565
computer,6,2.446640706109038
aided,1,3.2247919564926817
instructure,1,3.2247919564926817
cai,1,3.2247919564926817
fsm,2,2.9237619608287004
juang,2,2.9237619608287004
pangeran,1,3.2247919564926817
diponegoro,2,2.9237619608287004
dreadman,1,3.2247919564926817
ambil,5,2.5258219521566625
alpha,2,2.9237619608287004
beta,2,2.9237619608287004
clustering,39,1.6337273494661824
k-means,32,1.7196419781727754
rekomendasi,6,2.446640706109038
pilih,36,1.6684894557253942
jalur,4,2.622731965164719
minat,8,2.321701969500738
sesuai,5,2.5258219521566625
mampu,13,2.1108486041858447
progam,2,2.9237619608287004
studi,186,0.9552790122747652
extreme,4,2.622731965164719
elm,1,3.2247919564926817
amal,38,1.6450083598758714
laju,3,2.747670701773019
inflasi,2,2.9237619608287004
indonesia,52,1.5087886128578822
genetika,5,2.5258219521566625
jadwal,10,2.2247919564926817
kuliah,15,2.0487006974370003
website,15,2.0487006974370003
kembang,84,1.3005126704307999
adventure,6,2.446640706109038
satria,2,2.9237619608287004
garuda,1,3.2247919564926817
logic,2,2.9237619608287004
charakter,1,3.2247919564926817
finding,2,2.9237619608287004
chiko,1,3.2247919564926817
tic,1,3.2247919564926817
tac,1,3.2247919564926817
toe,1,3.2247919564926817
war,1,3.2247919564926817
astraghoul,1,3.2247919564926817
negamax,1,3.2247919564926817
othello,1,3.2247919564926817
trapped,1,3.2247919564926817
miners,1,3.2247919564926817
algorithma,1,3.2247919564926817
c45,2,2.9237619608287004
data,197,0.9303257303310886
strategi,24,1.8445807147810755
promosi,7,2.3796939164784248
prodi,12,2.1456107104450566
informatika,142,1.072503612109625
upgris,1,3.2247919564926817
prediksi,37,1.6565902324256865
kriteria,3,2.747670701773019
nasabah,5,2.5258219521566625
kredit,5,2.5258219521566625
pola,48,1.5435507191170943
fp-growth,5,2.5258219521566625
transaksi,8,2.321701969500738
jual,57,1.46891710082019
spare,1,3.2247919564926817
part,1,3.2247919564926817
motor,3,2.747670701773019
mahasiswa,87,1.285272703874063
dasar,42,1.601542666094781
akademik,26,1.8098186085218635
weka,2,2.9237619608287004
interface,5,2.5258219521566625
kasus,147,1.0574746217445055
jurus,42,1.601542666094781
umm,2,2.9237619608287004
study,6,2.446640706109038
pt,53,1.5005160868918925
indomarco,1,3.2247919564926817
palembang,6,2.446640706109038
asosiasi,2,2.9237619608287004
apriori,32,1.7196419781727754
analisa,43,1.591323500913095
belanja,4,2.622731965164719
